,zipcode,city,latitude,longitude
520,17291,"Gramzow, Uckermark",53.2108,14.00713
521,25548,Störkathen,53.980347,9.756469
522,7356,Bad Lobenstein Oberlemnitz,50.45,11.65
523,17179,Behren-Lübchin,54.02929,12.6650500000001
524,16303,Schwedt / Oder Kummerow bei Angermünde,53.14884,14.21521
525,16306,Schwedt / Oder Kummerow bei Angermünde,53.14884,14.21521
526,67311,"Tiefenthal, Pfalz",49.5386,8.10389
527,31718,Pollhagen,52.3766,9.18808
528,69226,Nußloch,49.3239,8.69556
529,18556,Putgarten Vitt,54.66594,13.43179
530,19089,Wessin Radepohl,53.5676,11.7538500000001
